trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
136,False,"{'e': 0.2592402606458915, 'a': 0.3}",20,8,10.260823858716158,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'e': 0.2566607769535559, 'a': 0.3}",20,8,-0.722535646592265,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
138,False,"{'e': 0.25410695955280027, 'a': 0.3}",20,10,17.36332742609658,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'e': 0.25157855305975646, 'a': 0.3}",20,16,6.481795924910905,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'e': 0.24907530463166816, 'a': 0.3}",20,0,1.1239830347504687,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
141,False,"{'e': 0.24659696394160643, 'a': 0.3}",25,18,6.940534817581858,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
142,False,"{'e': 0.2441432831534371, 'a': 0.3}",25,8,28.480854324017873,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'e': 0.24171401689703645, 'a': 0.3}",25,14,-58.050334437100354,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
144,False,"{'e': 0.23930892224375455, 'a': 0.3}",25,15,0.9532823379422477,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
145,False,"{'e': 0.23692775868212176, 'a': 0.3}",25,12,-29.20586004852238,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
146,False,"{'e': 0.23457028809379765, 'a': 0.3}",30,14,-10.928895660664296,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
147,False,"{'e': 0.23223627472975883, 'a': 0.3}",25,17,-6.1373600594771105,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
148,False,"{'e': 0.22992548518672384, 'a': 0.3}",25,0,29.845963149953597,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
149,False,"{'e': 0.22763768838381274, 'a': 0.3}",25,0,-5.001487480937909,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
150,False,"{'e': 0.22537265553943872, 'a': 0.3}",30,17,23.636921009268818,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'e': 0.22313016014842982, 'a': 0.3}",20,0,-26.939628096745224,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
152,False,"{'e': 0.2209099779593782, 'a': 0.3}",25,15,-5.511414443187773,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
153,False,"{'e': 0.21871188695221475, 'a': 0.3}",20,0,23.706221104109982,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
154,False,"{'e': 0.21653566731600707, 'a': 0.3}",20,11,16.326582838215472,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'e': 0.21438110142697794, 'a': 0.3}",25,17,16.226369841747243,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'e': 0.21224797382674304, 'a': 0.3}",20,12,2.185290583058677,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
157,False,"{'e': 0.21013607120076472, 'a': 0.3}",25,9,-9.619068677136331,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
158,False,"{'e': 0.20804518235702046, 'a': 0.3}",25,9,-19.69581894999477,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
159,False,"{'e': 0.20597509820488344, 'a': 0.3}",30,20,9.232032450538734,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
160,False,"{'e': 0.20392561173421342, 'a': 0.3}",30,14,25.021394854078167,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'e': 0.20189651799465538, 'a': 0.3}",25,16,0.6294342328796145,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
162,False,"{'e': 0.1998876140751445, 'a': 0.3}",20,12,1.2665175971896332,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'e': 0.19789869908361465, 'a': 0.3}",20,9,19.359597323110687,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'e': 0.19592957412690934, 'a': 0.3}",25,0,-0.7572792764245162,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
165,False,"{'e': 0.19398004229089189, 'a': 0.3}",30,16,-12.97955768553371,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
166,False,"{'e': 0.19204990862075408, 'a': 0.3}",20,8,-40.132085336555704,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
167,False,"{'e': 0.1901389801015205, 'a': 0.3}",25,0,30.318266097318155,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
168,False,"{'e': 0.1882470656387468, 'a': 0.3}",30,12,-8.452694439826162,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
169,False,"{'e': 0.18637397603940997, 'a': 0.3}",20,0,14.951507676920697,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'e': 0.18451952399298926, 'a': 0.3}",20,8,15.05419693196614,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
171,False,"{'e': 0.18268352405273466, 'a': 0.3}",25,18,12.254712074626704,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'e': 0.1808657926171221, 'a': 0.3}",20,11,-3.7572592738426307,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
173,False,"{'e': 0.17906614791149322, 'a': 0.3}",25,4,-16.731127418285826,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 1}",1
174,False,"{'e': 0.17728440996987782, 'a': 0.3}",25,13,10.473788144718178,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'e': 0.17552040061699686, 'a': 0.3}",35,17,30.221527797883674,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'e': 0.17377394345044514, 'a': 0.3}",20,6,22.653425529731045,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'e': 0.17204486382305054, 'a': 0.3}",30,13,30.90227577925135,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'e': 0.17033298882540943, 'a': 0.3}",20,0,25.828614126747432,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
179,False,"{'e': 0.1686381472685955, 'a': 0.3}",20,9,19.69708570545544,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'e': 0.1669601696670407, 'a': 0.3}",20,0,-21.918483999963907,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
181,False,"{'e': 0.16529888822158653, 'a': 0.3}",20,10,7.022727919968117,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
182,False,"{'e': 0.16365413680270405, 'a': 0.3}",20,11,14.503443417100971,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'e': 0.16202575093388075, 'a': 0.3}",25,11,24.825511382147173,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
